name,start_month,start_day,end_month,end_day,year,peak_classification,wind_speed_mph,wind_speed_kmh,pressure_hPa,pressure_inHg,areas_affected,deaths,damage,start_date,end_date,adj_factor,damage_inflation_adjusted,name_date
Cleo,August,20,September,5,1964,4,155,250,950,28.06,"The Caribbean, Southeastern United States",217,198000000,1964-08-20,1964-09-05,8.21,1625580000.0000002,Cleo_1964-08-20
Dora,August,28,September,14,1964,4,140,220,942,27.82,Southeastern United States,5,250000000,1964-08-28,1964-09-14,8.21,2052500000.0000002,Dora_1964-08-28
Hilda,September,28,October,4,1964,4,150,240,941,27.79,Southern United States,38,125000000,1964-09-28,1964-10-04,8.21,1026250000.0000001,Hilda_1964-09-28
Betsy,August,27,September,14,1965,4,155,250,941,27.79,"Bahamas, Southeastern United States",75,1420000000,1965-08-27,1965-09-14,8.09,11487800000,Betsy_1965-08-27
Inez,September,21,October,11,1966,4,150,240,929,27.43,"The Caribbean, Florida, Mexico",710,616000000,1966-09-21,1966-10-11,7.85,4835600000,Inez_1966-09-21
Beulah,September,5,September,22,1967,5,160,260,921,27.2,"The Caribbean, Mexico, Texas",59,208000000,1967-09-05,1967-09-22,7.64,1589120000,Beulah_1967-09-05
Camille,August,14,August,22,1969,5,175,280,900,26.58,"Cuba, United States Gulf Coast",256,1420000000,1969-08-14,1969-08-22,6.95,9869000000,Camille_1969-08-14
Celia,July,31,August,5,1970,3,125,205,945,27.91,"Cuba, United States Gulf Coast",20,930000000,1970-07-31,1970-08-05,6.56,6100800000,Celia_1970-07-31
Agnes,June,14,June,23,1972,1,85,140,977,28.85,"Mexico, Cuba, Eastern United States",124,2100000000,1972-06-14,1972-06-23,6.1,12810000000,Agnes_1972-06-14
Carmen,August,29,September,10,1974,4,150,240,928,27.4,"Central America, Mexico,United States Gulf Coast",8,162000000,1974-08-29,1974-09-10,5.17,837540000,Carmen_1974-08-29
Fifi,September,14,September,24,1974,2,110,180,971,28.67,"Jamaica, Central America, Mexico",8200,1800000000,1974-09-14,1974-09-24,5.17,9306000000,Fifi_1974-09-14
Eloise,September,13,September,24,1975,3,125,205,955,28.2,"The Caribbean, Yucatán Peninsula, Florida",80,550000000,1975-09-13,1975-09-24,4.74,2607000000,Eloise_1975-09-13
Anita,August,29,September,4,1977,5,175,280,926,27.34,Mexico,10,NA,1977-08-29,1977-09-04,4.21,NA,Anita_1977-08-29
Greta,September,13,September,23,1978,4,130,215,947,27.959999999999997,"The Caribbean, Central America, Mexico",5,26000000,1978-09-13,1978-09-23,3.91,101660000,Greta_1978-09-13
David,August,25,September,8,1979,5,175,280,924,27.29,"The Caribbean, United States East coast",2068,1540000000,1979-08-25,1979-09-08,3.51,5405400000,David_1979-08-25
Frederic,August,29,September,15,1979,4,130,215,943,27.85,"The Caribbean, Southeastern United States",12,1700000000,1979-08-29,1979-09-15,3.51,5967000000,Frederic_1979-08-29
Allen,July,31,August,11,1980,5,190,305,899,26.55,"The Caribbean, Yucatán Peninsula, Mexico, South Texas",269,1240000000,1980-07-31,1980-08-11,3.09,3831600000,Allen_1980-07-31
Alicia,August,15,August,21,1983,3,115,185,963,28.439999999999998,"Eastern Texas, Louisiana",21,3000000000,1983-08-15,1983-08-21,2.56,7680000000,Alicia_1983-08-15
Elena,August,28,September,4,1985,3,125,205,953,28.14,"Cuba, United States Gulf Coast",9,1300000000,1985-08-28,1985-09-04,2.37,3081000000,Elena_1985-08-28
Gloria,September,16,October,2,1985,4,145,230,919,27.14,"United States East Coast, Atlantic Canada",9,900000000,1985-09-16,1985-10-02,2.37,2133000000,Gloria_1985-09-16
Gilbert,September,8,September,19,1988,5,185,295,888,26.22,"Jamaica, Venezuela, Central America, Hispaniola, Mexico",318,2980000000,1988-09-08,1988-09-19,2.16,6436800000,Gilbert_1988-09-08
Joan,October,11,November,2,1988,4,145,230,932,27.52,"Lesser Antilles, Colombia, Venezuela, Central America",216,2000000000,1988-10-11,1988-11-02,2.16,4320000000,Joan_1988-10-11
Hugo,September,9,September,25,1989,5,160,260,918,27.110000000000003,"The Caribbean, United States East Coast",49,9700000000,1989-09-09,1989-09-25,2.06,19982000000,Hugo_1989-09-09
Diana,August,4,August,9,1990,2,100,165,980,28.939999999999998,"Yucatán Peninsula, Central Mexico",96,90000000,1990-08-04,1990-08-09,1.95,175500000,Diana_1990-08-04
Klaus,October,3,October,9,1990,1,80,130,985,29.09,"Lesser Antilles, The Bahamas, Southeast United States",11,1000000,1990-10-03,1990-10-09,1.95,1950000,Klaus_1990-10-03
Bob,August,16,August,20,1991,3,115,185,950,28.06,"United States East Coast, Canada",17,1500000000,1991-08-16,1991-08-20,1.87,2805000000,Bob_1991-08-16
Andrew,August,16,August,28,1992,5,175,280,922,27.23,"The Bahamas, Florida, United States Gulf Coast",65,27300000000,1992-08-16,1992-08-28,1.82,49686000000,Andrew_1992-08-16
